title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Death of the Honourable Reginald B. Alcock and Former Member of Parliament for the Riding of Winnipeg South|Wed, 19 Oct 2011 00:00:00 -0400| From October 19 until sunset on Friday, October 21, 2011, the day of the memorial service of the late Honourable B. Reginald Alcock.| Death of the Honourable Reginald B. Alcock, P.C., B.A., M.P.A. and Former Member of Parliament for the Riding of Winnipeg South (1993-2006)| October 19 to 21: All Government of Canada buildings and establishments in the city of Winnipeg, Manitoba. October 21: The Peace Tower on Parliament Hill in Ottawa.|7|2011-10-19 00:00:00|2011-10-21 00:00:00|2011
Plane crash near the community of Lutselk'e in the Northwest Territories|Wed, 5 Oct 2011 00:00:00 -0400| Wednesday, October 5, 2011, to honour the memory of the two victims.  | Death of two victims in a plane crash near the community of Lutselk'e in the Northwest Territories.  | All Government of Canada buildings and establishments in Yellowknife and Lutselk'e, Northwest Territories.|10|2011-10-05 00:00:00|NA|2011
Police and Peace Officers' National Memorial Day|Sun, 25 Sep 2011 07:00:00 -0400| From sunrise to sunset on Sunday, September 25, 2011.| Police and Peace Officers' National Memorial Day.| All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.|11|2011-09-25 00:00:00|NA|2011
Death of two victims of the Arctic Sunwest Crash in the Northwest Territories|Fri, 23 Sep 2011 00:00:00 -0400| From September 23 until sunset on Sunday, September 25, 2011, to honour the memory of the two victims. | Death of two victims of the Arctic Sunwest Crash in the Northwest Territories.| All Government of Canada buildings and establishments in the City of Yellowknife, Northwest Territories.|10|2011-09-23 00:00:00|2011-09-25 00:00:00|2011
Tenth Anniversary of 9/11|Sun, 11 Sep 2011 06:00:00 -0400| From sunrise to sunset on Sunday, September 11, 2011, to honour the memory of the innocent people who lost their lives during the terrorist attacks of September 11, 2001.| Tenth Anniversary of 9/11. | The Peace Tower on Parliament Hill in Ottawa.|16|2011-09-11 00:00:00|2011-09-11 00:00:00|2011
Death of the Honourable Jack Layton,  P.C., B.A, M.A., Ph.D|Mon, 22 Aug 2011 00:00:00 -0400| From August 22 until sunset on Saturday, August 27, 2011, the day of the funeral of the late Honourable Jack Layton.| Death of the Honourable Jack Layton,  P.C., B.A, M.A., Ph.D - Leader of Her Majesty’s Loyal Opposition and Member of the Queen’s Privy Council for Canada. | All Government of Canada buildings and establishments across Canada, including the Peace Tower in Ottawa.|16|2011-08-22 00:00:00|2011-08-27 00:00:00|2011
Death of William A. Ferguson, former Member of the Legislative Assembly of Ontario|Tue, 26 Jul 2011 00:00:00 -0400| Tuesday, July 26, 2011, the day of the memorial service for William A. Ferguson. | Death of William A. Ferguson, former Member of the Legislative Assembly of Ontario for the riding of Kitchener (1990 to 1994)| All Government of Canada buildings and establishments in the City of Kitchener, Ontario.|10|2011-07-26 00:00:00|NA|2011
Death of Constable Garrett Styles of the York Regional Police|Tue, 5 Jul 2011 06:00:00 -0400| From sunrise to sunset on Tuesday, July 5, 2011, the day of the funeral of Constable Garrett Styles. | Death of Constable Garrett Styles of the York Regional Police who was killed while on duty on June 28, 2011.  | All Government of Canada buildings and establishments in the York Region, Ontario.|14|2011-07-05 00:00:00|NA|2011
Death of Master Corporal Francis Roy|Sat, 25 Jun 2011 00:00:00 -0400| See Rules for Half-masting, the National Flag of Canada (Section 14)| Death of Master Corporal Francis Roy from the Canadian Forces, who passed away on June 25, 2011.  | See Rules for Half-masting, the National Flag of Canada (Section 14)|Multiple|2011-07-05 00:00:00|NA|2011
National Day of Remembrance for Victims of Terrorism|Thu, 23 Jun 2011 07:00:00 -0400| From sunrise to sunset on Thursday, June 23, 2011.| National Day of Remembrance for Victims of Terrorism.| All Government of Canada buildings and establishments across the country, including the Peace Tower on Parliament Hill in Ottawa.|16|2011-06-23 00:00:00|NA|2011
Memorial Service for Deceased Parliamentarians|Mon, 6 Jun 2011 09:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, June 6, 2011.| Memorial Service for Deceased Parliamentarians| The Peace Tower on Parliament Hill in Ottawa.|11|2011-06-06 00:00:00|NA|2011
Death of Bombardier Karl Manning in Afghanistan|Fri, 27 May 2011 00:00:00 -0400| See Rules for Half-masting the National Flag of Canada (Section 14)| Death of Bombardier Karl Manning from the Canadian Forces in Afghanistan on May 27, 2011.| See  Rules for Half-masting the National Flag of Canada (Section 14)|Multiple|2011-06-06 00:00:00|NA|2011
Death of Bruce Crozier, member of the Legislative Assembly of Ontario|Fri, 27 May 2011 00:00:00 -0400| From May 27 until sunset, Wednesday, June 8, 2011, the day of the funeral of Bruce Crozier.| Death of Bruce Crozier, member of the Legislative Assembly of Ontario for the riding of Essex. | All Government of Canada buildings and establishments in the riding of Essex, Ontario. |10|2011-05-27 00:00:00|2011-06-08 00:00:00|2011
Death of Patrick Michael Hayes, former Member of the Legislative Assembly of Ontario|Fri, 6 May 2011 06:00:00 -0400| From sunrise to sunset on Friday, May 6, 2011, the day of the funeral for Patrick Michael Hayes.| Death of Patrick Michael Hayes, former Member of the Legislative Assembly of Ontario for the Riding of Essex-Kent.| All Government of Canada buildings and establishments in the riding of Essex-Kent, Ontario.|10|2011-05-06 00:00:00|NA|2011
Day of Mourning for Persons Killed or Injured in the Workplace|Thu, 28 Apr 2011 06:00:00 -0400| From sunrise to sunset Thursday, April 28, 2011.| Day of Mourning for Persons Killed or Injured in the Workplace | All Government of Canada buildings and establishments across Canada.|11|2011-04-28 00:00:00|NA|2011
Death of the Honourable Allan Blakeney, former Premier of Saskatchewan|Sat, 16 Apr 2011 00:00:00 -0400| From April 16 until sunset on Saturday, April 23, 2011, the day of the funeral of the late Honourable Allan Blakeney. Saturday, May 7, 2011, the day of the memorial service for the late Honourable Allan Blackeney.| Death of the Honourable Allan Blakeney, P.C., O.C., S.O.M., D.C.L., F.R.S.C., Q.C., former Premier of Saskatchewan, who passed away on April 16, 2011.| April 16 to 23, 2011: All Government of Canada buildings and establishments in the province of Saskatchewan. May 7, 2011: All Government of Canada buildings and establishments in the province of Saskatchewan and the Peace Tower on Parliament Hill in Ottawa.|7|2011-04-16 00:00:00|2011-05-07 00:00:00|2011
