title|pubdate|mastingperiod|occasion|location|section|date1|date2|year
Death of The Honourable David Alexander Colville, P.C., C.C., O.N.S.|Fri, 19 Jul 2013 12:10:00 -0400| From July 19, 2013 until sunset on Wednesday, July 24, 2013, day of the funeral| Death of The Honourable David Alexander Colville, P.C., C.C., O.N.S.| Flags on all Government of Canada buildings and establishments in the city of Wolfville, Nova Scotia. In addition, the flag on the Peace Tower in Ottawa will be half-masted from sunrise to sunset, the day of the funeral|7|2013-07-19 00:00:00|2013-07-24 00:00:00|2013
Victims of the tragedy in Lac-Mégantic on July 6, 2013|Thu, 11 Jul 2013 06:00:00 -0400| From sunrise July 11 until sunset July 17, 2013| In memory of the victims in Lac-Megantic| Flags on all Government of Canada buildings and establishments in the province of Quebec|Multiple|2013-07-11 00:00:00|2013-07-17 00:00:00|2013
Death of The Honourable Andy Scott, P.C., former Minister|Tue, 25 Jun 2013 09:00:00 -0400| From June 25 until sunset on Friday, June 28, 2013, the day of the funeral| The Honourable Andy Scott, who passed away June 24, 2013.| Flags on all Government of Canada buildings and establishments in Fredericton, New Brunswick. Further, the flag will flown at half-mast on the Peace Tower from sunrise to sunset on the day of the funeral.|7|2013-06-25 00:00:00|2013-06-28 00:00:00|2013
National Day of Remembrance for Victims of Terrorism|Sun, 23 Jun 2013 06:00:00 -0400| From sunrise to sunset on Sunday, June 23, 2013| National Day of Remembrance for Victims of Terrorism | Peace Tower and on all Government Canada buildings and establishments across the country|11|2013-06-23 00:00:00|NA|2013
Death of The Honourable Garde B. Gardom, Q.C., O.B.C., former Lieutenant Governor of British Columbia|Wed, 19 Jun 2013 06:00:00 -0400| Flags will be flown at half-mast from sunrise to sunset on Wednesday, July 17, 2013, the day of the funeral| Death of The Honourable Garde B. Gardom, who passed away on June 18, 2013| Flags on all Government of Canada buildings and establishments in  the province of British Columbia|10|2013-07-17 00:00:00|NA|2013
Memorial Service for Deceased Parliamentarians|Mon, 10 Jun 2013 09:00:00 -0400| From 9:00 a.m. to 11:00 a.m. on Monday, June 10, 2013| Memorial Service for Deceased Parliamentarians| Peace Tower in Ottawa|11|2013-06-10 00:00:00|NA|2013
Death of Don Filliter (Captain), Chris Snowball and Dustin Dagenais (Paramedics)|Fri, 7 Jun 2013 16:00:00 -0400| From June 7, 2013 until sunset June 8, 2013, the day of the funerals.| The death of paramedics Don Filliter, Chris Snowball and Dustin Dagenais, who passed away on May 31 , 2013| Flags on all Government of Canada buildings and establishments in the  cities of Sudbury, Burlington and Kapuskasing, Ontario|10|2013-06-07 00:00:00|2013-06-08 00:00:00|2013
Death of the late Honourable James Kelleher|Mon, 3 Jun 2013 06:00:00 -0400| From June 2, 2013 until sunset June 4, 2013, the day of the funeral| The death of the late Honourable James Kelleher, who passed away June 2, 2013| Flags on all Government of Canada buildings and establishments in the city of Toronto, Ontario.  Further, the flag will be flown at half-mast on the Peace Tower from sunrise to sunset on the day of the funeral.|7|2013-06-02 00:00:00|2013-06-04 00:00:00|2013
Death of Peter Kormos, former Member of the Legislative Assembly of Ontario for the riding of Welland, Ontario|Sat, 11 May 2013 06:00:00 -0400| From sunrise to sunset on Saturday, May 11, 2013 | The funeral of the late Peter Kormos, who passed away March 30, 2013| Flags on all Government of Canada buildings and establishments in the riding of  Welland, Ontario|10|2013-05-11 00:00:00|NA|2013
Death of The Honourable Doug Finley, Senator|Sat, 11 May 2013 05:06:00 -0400| From May 11 until sunset on the memorial service, Saturday May 18, 2013.| The memorial service of the late Honourable Doug Finley, who passed away May 11, 2013.| Flags on all Government of Canada buildings and establishments in the city of Simcoe, Ontario.  Further, the flag will be flown at half-mast on the Peace Tower from sunrise to sunset on the day of the memorial service.|7|2013-05-11 00:00:00|2013-05-18 00:00:00|2013
Death of Robert Elgie, former Member of the Legislative Assembly of Ontario for the riding of Beaches-East York, Ontario|Sat, 4 May 2013 07:00:00 -0400| From sunrise to sunset on Saturday, May 4, 2013 | The funeral of the late Robert Elgie, who passed away April 3, 2013| Flags on all Government of Canada buildings and establishments in the riding of Beaches - East York, Ontario|10|2013-05-04 00:00:00|NA|2013
Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day)|Sun, 28 Apr 2013 01:01:00 -0400| From sunrise to sunset on Sunday, April 28, 2013.| Day of Mourning for Persons Killed or Injured in the Workplace (Workers' Mourning Day).| Peace Tower in Ottawa and on all Government of Canada buildings and establishments across Canada.|11|2013-04-28 00:00:00|NA|2013
Death of Margaret Thatcher, Former British Prime Minister, LG, OM, PC, FRS|Tue, 16 Apr 2013 11:00:00 -0400| Wednesday, April 17, 2013, from sunrise to sunset. | Funeral of the late Margaret Thatcher, who passed away April 8, 2013.| Peace Tower in Ottawa.|16|2013-04-17 00:00:00|NA|2013
Death of Ralph Klein, O.C., A.O.E, former Premier of Alberta|Tue, 2 Apr 2013 11:00:00 -0400| From March 29, 2013 until sunset Friday, April 5, 2013, the day of the memorial service.| Death of Ralph Klein who passed away March 29, 2013.| On all Government of Canada buildings and establishments in the Province of Alberta.|10|2013-03-29 00:00:00|2013-04-05 00:00:00|2013
Death of the Honourable J. Léonce Bernard, OPEI, former Member of the Provincial Executive Council and former Lieutenant Governor of Prince Edward Island|Wed, 27 Mar 2013 12:00:00 -0400| From March 27, 2013 until sunset the day of the funeral April 1, 2013.| Death of the late Honourable J. Léonce Bernard, who passed away March 26, 2013.| On all Government of Canada buildings and establishments in Prince Edward Island.|10|2013-03-27 00:00:00|2013-04-01 00:00:00|2013
Death of Constable Jennifer Kovach|Fri, 15 Mar 2013 04:00:00 -0400| From sunrise to sunset on Thursday March 21, 2013, day of the funeral.| Death of Constable Jennifer Kovach, who passed away March 14, 2013.| On all Government of Canada buildings and establishments in the city of Guelph, Ontario.|10|2013-03-21 00:00:00|NA|2013
Death of Claudette Boyer, former Member of the Legislative Assembly of Ontario for the riding of Ottawa-Vanier, Ontario.|Wed, 27 Feb 2013 05:00:00 -0500| From sunrise to sunset on Wednesday, February 27, 2013, the day of the funeral of Mrs. Claudette Boyer.| Death of Claudette Boyer.| Flags on all Government of Canada buildings and establishments in the riding of Ottawa-Vanier, Ontario (with the exception of the Peace Tower).|10|2013-02-27 00:00:00|NA|2013
Death of Herb Epp, former Mayor and Member of the Legislative Assembly of Ontario for the riding of Kitchener-Waterloo|Tue, 26 Feb 2013 16:00:00 -0500| From sunrise to sunset on Friday, March 1, 2013, the day of the funeral.| Death of Herb Epp on February 25, 2013. | On all Government of Canada buildings and establishments in the riding of Kitchener-Waterloo, Ontario.|10|2013-03-01 00:00:00|NA|2013
Death of Marion Helen Bryden, former Member of the Legislative Assembly of Ontario for the riding of Beaches-East York|Sat, 23 Feb 2013 05:30:00 -0500| From sunrise to sunset on Saturday, February 23, 2013, the day of the funeral.| Death of Marion Helen Bryden.| On all Government of Canada buildings and establishments in the riding of Beaches-East York, Ontario.|10|2013-02-23 00:00:00|NA|2013
Death of The Honourable Eugene Whelan, P.C., O.C., former Minister and Senator|Wed, 20 Feb 2013 09:00:00 -0500| From February 20 until sunset the day of the funeral or memorial service (date to be confirmed)| Death of The Honourable Eugene Whelan on February 19, 2013| On all Government of Canada buildings and establishments in the city of Amherstburg, Ontario; on the Peace Tower from sunrise to sunset on the day of the funeral or the memorial service.|7|2013-02-20 00:00:00|NA|2013
Death of the Honourable Diane Marleau, P.C.|Thu, 31 Jan 2013 10:00:00 -0500| From January 31, 2013 until sunset, February 2, 2013,  the day of the commemorative service of the Honourable Diane Marleau, who passed away January 30, 2013.| Death of the Honourable Diane Marleau.| Flags on all Government of Canada buildings and establishments in the city of Sudbury, Ontario. Further, the flag on the Peace Tower in Ottawa will be flown at half-mast from sunrise to sunset on February 2, 2013, the day of the commemorative service.|7|2013-01-31 00:00:00|2013-02-02 00:00:00|2013
Death of the Right Honourable Martial Asselin, P.C., O.C., Q.C.|Fri, 25 Jan 2013 00:01:00 -0500| From January 25 until sunset, February 2, 2013 the day of the funeral of the late Right Honourable Martial Asselin.| Death of the Right Honourable Martial Asselin, who passed away on January 25, 2013.| Flags on all Government of Canada buildings and establishments in the city of Québec, Quebec. Further, the flag on the Peace Tower in Ottawa will be flown at half-mast from sunrise to sunset on February 2, 2013, the day of the funeral.|7|2013-01-25 00:00:00|2013-02-02 00:00:00|2013
Death of Mr. John Melville Turner|Tue, 22 Jan 2013 06:00:00 -0500| From January 22, until sunset, Saturday January 26, 2013, day of the funeral of the late Mr. John Melville Turner, Former Member of the Legislative Assembly of Ontario.| Death of Mr. John Melville Turner, former Member of the Legislative Assembly of Ontario and Speaker of the Ontario Legislative Assembly, who passed away January 20, 2013.| Flags on all Government of Canada buildings and establishments in the Riding of Peterborough, Ontario.|10|2013-01-22 00:00:00|2013-01-26 00:00:00|2013
